text,stance_label,confidence,expected_score_band,expected_toxicity_band,expected_supportive_strength_band
"This Jayden Lennox is such a clever operator.

His intellect will be applauded by most, but his control over speed and length is exceptional.👏👏#INDvsNZ https://t.co/iAbMzdTmiU",NEUTRAL_ANALYSIS,0.2863,"[31.6, 43.6]","[0.0, 0.0803]","[0.0, 0.15]"
"Same but different.

Maybe Aussie and New Zealand captains just like to keep pictures of the pitch they will win the world cup on… 

😅😅 https://t.co/irJ3TtBHFe",NEUTRAL_ANALYSIS,0.3124,"[32.42, 44.42]","[0.0, 0.081]","[0.0, 0.15]"
"Did not complete Duffy's quota, bowled Henry and Phillips in the slog overs. His captaincy alone will cost NZ after the league phase.",NEUTRAL_ANALYSIS,0.3315,"[31.74, 43.74]","[0.0, 0.0806]","[0.0, 0.15]"
What a ton Jacob Bethell... 250 chase in a semi finals against such a good bowling attack...  One of the best knocks in T20 WC,CONSTRUCTIVE_CRITICISM,0.3558,"[40.19, 52.19]","[0.0, 0.0806]","[0.0, 0.15]"
"Ben Duckett pulls out of the IPL now!

Delhi capitals are waiting on a return date for Starc as well. 

Who could be the potential replacement? #ipl2026 https://t.co/Bm8v88aA64",NEUTRAL_ANALYSIS,0.3105,"[33.38, 45.38]","[0.0, 0.082]","[0.0, 0.15]"
Bumrah is unreal cheat code!!🐐#T20WorldCup,NEUTRAL_ANALYSIS,0.3167,"[27.07, 39.07]","[0.0, 0.0856]","[0.0, 0.15]"
I was pretty much expecting this to come. Now we have to depend on Duffy... The way he was smashed in the T20 World Cup... I'm ready to see opponents whack us 220s 230s...,NEUTRAL_ANALYSIS,0.3082,"[69.0, 81.0]","[0.0, 0.0809]","[0.0, 0.15]"
Which four players would you choose to make the Mount Rushmore of South african cricket https://t.co/sJdkIJ7pnD,MIXED_STANCE,0.083,"[30.52, 42.52]","[0.0, 0.0802]","[0.0, 0.15]"
🚨 RCB is offering free Metro rides for ticket holders on match days in Bengaluru. https://t.co/huamuI5TD6,NEUTRAL_ANALYSIS,0.3371,"[28.93, 40.93]","[0.0, 0.0802]","[0.0, 0.15]"
Bethell bowling ahead of specialist spinner Rehan included in the playing eleven is a difficult strategy to understand.,NEUTRAL_ANALYSIS,0.3317,"[34.52, 46.52]","[0.0, 0.0802]","[0.0, 0.15]"
RCB deserves an extra trophy for defending on this Modi stadium that too against the long Punjab Kings batting line up. Krunal deserves some international award.,NEUTRAL_ANALYSIS,0.3033,"[33.85, 45.85]","[0.0, 0.0802]","[0.0, 0.15]"
"Bumrah is not normal not at all normal this brother not normal , POTT contestant",NEUTRAL_ANALYSIS,0.4205,"[32.49, 44.49]","[0.0, 0.1383]","[0.0, 0.15]"
It's over. Farhan goes past Kohli's 319 tally... 4 season Tv series will be planned tomorrow.,CONSTRUCTIVE_CRITICISM,0.3119,"[38.16, 50.16]","[0.0, 0.0802]","[0.0, 0.15]"
"Roses are red, Violets are blue, My heart wears red and gold, And beats strong and true.

Through every season of hope, Through every near miss and scar, I’ll stand with Royal Challengers Bangalore, No matter how close or far.

When the pressure is rising, And the world holds its breath, In walks Virat Kohli, Defying all doubt and depth.

With fire in his eyes, And pride in every stride, He plays with a passion We RCB fans carry inside.

#RCB #ValentinesDay2026 #ViratKohli𓃵",NEUTRAL_ANALYSIS,0.3215,"[37.12, 49.12]","[0.0, 0.0803]","[0.0, 0.15]"
"A flawless campaign powered by talent, fearlessness and audacity.

The white ball game keeps on moving rapidly and this batch of under - 19’s have shown us how much more they are willing to push with bat.

Incredible confidence and skill to be able to do what this @BCCI under 19 team did throughout this campaign.

Well done boys👏

Scary to think of what par scores are going to look like in the future.👀👀",NEUTRAL_ANALYSIS,0.3614,"[35.81, 47.81]","[0.0, 0.1031]","[0.0, 0.15]"
"Night games in T20 WC KOs (since 2014) . Toss crucial
Field First &gt;Win Match 

NZ&gt;SA
SA&gt;AFG
Eng&gt;PAK
Eng&gt;IND
Pak&gt;NZ
Aus&gt;NZ
Aus&gt;Pak
NZ&gt;ENG
WI&gt;ENG
WI&gt;IND
ENG&gt;NZ 
SL&gt;IND
IND&gt; SA 
SL&gt;WI - DLS

Only twice team won batting first. both were day games that India won. #T20WorldCup",NEUTRAL_ANALYSIS,0.3537,"[36.21, 48.21]","[0.0, 0.0807]","[0.0, 0.15]"
Axar Patel in the dug out quietly watching maharaj pick 3 wickets in one over.,NEUTRAL_ANALYSIS,0.3878,"[30.45, 42.45]","[0.0, 0.0802]","[0.0, 0.15]"
Salt Brother is playing so well. How did you get out easily that way? Put just a little price in your wicket.,NEUTRAL_ANALYSIS,0.406,"[39.68, 51.68]","[0.0, 0.0822]","[0.0, 0.15]"
"Absolute masterclass yet again Sanju 🫡

97* off 50 vs WI &amp; 89 off 42 vs England. Not just the knockout pressure, all these came after his place was questioned too.",NEUTRAL_ANALYSIS,0.4348,"[31.47, 43.47]","[0.0, 0.0806]","[0.0, 0.15]"
Noted coach,NEUTRAL_ANALYSIS,0.3103,"[35.22, 47.22]","[0.0, 0.0802]","[0.0, 0.15]"
"🗝️ 𝗝𝗨𝗦𝗧 𝗖𝗛𝗘𝗖𝗞𝗘𝗗 𝗜𝗡: 𝗬𝗼𝘂𝗿 𝗻𝘂𝗺𝗯𝗲𝗿 𝟭𝟭, 𝗠𝗮𝗻𝗴𝗲𝘀𝗵 𝗬𝗮𝗱𝗮𝘃. ❤️‍🔥

He’s home, locked in and ready to serve his all-round specials. 💪🔥

This is Emmvee presents RCB Shorts.

#PlayBold #ನಮ್ಮRCB #IPL2026 https://t.co/KL6eASGlCJ",NEUTRAL_ANALYSIS,0.3296,"[32.07, 44.07]","[0.0, 0.0822]","[0.0, 0.15]"
"This is an absolute must read for any #IPL fan.

Last season 3 of the top 4 were correctly predicted by the model Omkar has built.

Take a look at what he is saying this year.",NEUTRAL_ANALYSIS,0.3165,"[34.95, 46.95]","[0.0, 0.1177]","[0.0, 0.15]"
"SA have been so dominant this World Cup, easy win every game except the Afghan one.",NEUTRAL_ANALYSIS,0.3244,"[36.29, 48.29]","[0.0, 0.0802]","[0.0, 0.15]"
India vs Pakistan is no rivalry man this is just comedy 😭😭,NEUTRAL_ANALYSIS,0.3259,"[25.34, 37.34]","[0.0, 0.0804]","[0.0, 0.15]"
"Question for the day...If you were able to take one player from another #IPL2026 team, who would it be?",NEUTRAL_ANALYSIS,0.2999,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
"Intent batters, especially ultra-intent batters, should be confident. If confidence is gone, they can't time anything, not even one shot will connect, stinkers will come. Abhishek Sharma is in the same space now.",NEUTRAL_ANALYSIS,0.3056,"[54.0, 66.0]","[0.0, 0.089]","[0.0, 0.15]"
"Kamil Mishara standing between New Zealand and Pakistan right now. #T20WorldCup 
 
Talented classy looking left hander.👌 https://t.co/nWyrRkacvG",NEUTRAL_ANALYSIS,0.3209,"[30.39, 42.39]","[0.0, 0.085]","[0.0, 0.15]"
"@CricCrazyJohns Even I live just 12 km away from Chepauk, I’ve never heard a single sound 🙄",NEUTRAL_ANALYSIS,0.3344,"[69.0, 81.0]","[0.0, 0.0806]","[0.0, 0.15]"
"IPL bowling stats 

Games: 9
Balls bowled : 164
Runs conceded: 284
Wickets: 5 
Average : 56.9
Strike Rate : 32.9
Economy : 10.39

Surely there are better players?",NEUTRAL_ANALYSIS,0.4372,"[34.3, 46.3]","[0.0, 0.0802]","[0.0, 0.15]"
What braindead batting is this from England 🤣🤣🤣,NEUTRAL_ANALYSIS,0.3751,"[31.43, 43.43]","[0.0, 0.087]","[0.0, 0.15]"
"SA thrashed NZ in the group stage, won all 4 games, then went on to hammer tournament favourites India in the Super 8, won all 3 games there.... And then ends the World Cup by getting humiliated by NZ in the Semis...",NEUTRAL_ANALYSIS,0.4611,"[43.01, 55.01]","[0.0, 0.0809]","[0.0, 0.15]"
"Birla, Blitzer, Blackstone, Satyan Gajwani bag RCB 
Ranjan Pai, Premji lose out 

Consortium of Birla, Blitzer, Blackstone and others emerges lead contender to acquire Royal Challengers Bengaluru

https://t.co/HuJPSNIawe",NEUTRAL_ANALYSIS,0.3173,"[28.45, 40.45]","[0.0, 0.082]","[0.0, 0.15]"
"Seeing that RCB bowling attack makes me cry... Last time when Hazlewood wasn't there for 3 games, we conceded 211, 231 &amp; 227, thankfully batters stepped up in 2 games. Hazlewood makes the entire bowling attack better, the bowlers around him bowl much better when he's there.",CONSTRUCTIVE_CRITICISM,0.3416,"[39.89, 51.89]","[0.0, 0.0803]","[0.0, 0.15]"
"Gambhir was doing so much nonsense in T20s, especially batting order, he was shuffling players out of position, backing wrong guys, but all the clownery was covered because of Bumrah and Varun's peak. Today properly exposed lol.",NEUTRAL_ANALYSIS,0.3273,"[37.32, 49.32]","[0.0, 0.0822]","[0.0, 0.15]"
NZL canter home and will go with lot of confidence to the super 8s. They need to come up with more plans and thoughts in super 8s regarding their bowling to have any chance to progress to the semi finals. Well played NZl and hard luck to Canada.,MIXED_STANCE,0.0617,"[39.17, 51.17]","[0.0, 0.0802]","[0.0, 0.15]"
Some Punjab Kings fans said they missed Ferguson in the IPL Finals. https://t.co/BOuwxg98NH,NEUTRAL_ANALYSIS,0.3183,"[37.33, 49.33]","[0.0, 0.0802]","[0.0, 0.15]"
"This Tilak Verma expose sesh, this brother was treated as God after Asia Cup. World Cup exposing him badly, he can't hit spin properly, suffers pace and swing. 😭😭😭",NEUTRAL_ANALYSIS,0.3101,"[33.41, 45.41]","[0.0, 0.0857]","[0.0, 0.15]"
T20 is back 170-190 runs https://t.co/KZzQga5Ex5,NEUTRAL_ANALYSIS,0.3501,"[33.66, 45.66]","[0.0, 0.0804]","[0.0, 0.15]"
Can't u get. He's in the T20WC Squad 🙃,MIXED_STANCE,0.1471,"[38.36, 50.36]","[0.0, 0.0823]","[0.0, 0.15]"
"Kohli showcases his class by lofting Duffy into the downtown territories. But Duffy has been unlucky so far. He forced Kohli to edge one to third man, only for the fielder to fluff the chance. Then a chance went down at deep square leg.

@Fancricket12 https://t.co/hLxX2kLHKR",NEUTRAL_ANALYSIS,0.2717,"[33.07, 45.07]","[0.0, 0.0807]","[0.0, 0.15]"
Stunning innings this from Nissanka.,NEUTRAL_ANALYSIS,0.4028,"[31.15, 43.15]","[0.0, 0.0802]","[0.0, 0.15]"
"Ignore this edit, but remember this guy's name. This guy is so good, he might even be the best LSG bowler and lead their pace attack. Prince Yadav will cook in IPL.",CONSTRUCTIVE_CRITICISM,0.3474,"[40.47, 52.47]","[0.0, 0.0803]","[0.0, 0.15]"
It’s vital for Pakistan to have some wickets in hand to counter our spinners. #INDvsPAK #ICCT20WORLDCUP,CONSTRUCTIVE_CRITICISM,0.3854,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
"𝑫𝒂𝒚 1️⃣. 𝑾𝒐𝒓𝒌 𝒎𝒐𝒅𝒆 🔛. ❤️‍🔥

Head Coach Andy Flower’s welcome to the new members of the squad, and Virat’s pep talk in the first practice session of #IPL2026 at ನಮ್ಮ Chinnaswamy. 👊

Watch more on @bigbasket_com presents RCB Bold Diaries. 🎥

#PlayBold #ನಮ್ಮRCB https://t.co/ee8mPnIgWb",NEUTRAL_ANALYSIS,0.3275,"[31.91, 43.91]","[0.0, 0.0824]","[0.0, 0.15]"
"Audacity to call other batters flat track bullies, having 1 and half decent T20 batters in the entire country.",NEUTRAL_ANALYSIS,0.3518,"[29.23, 41.23]","[0.0, 0.1019]","[0.0, 0.15]"
"Dy patil completed player rating 

Krunal 8/10 (bowling rating ) 2/10 (batting rating ) 

Suyash 9.5/10

Bhuvi 5/10 

Venkatesh Iyer ( No rating played 2 matches only )

Abhinandan 7/10 

Jitesh Sharma 1/10",NEUTRAL_ANALYSIS,0.3165,"[30.71, 42.71]","[0.0, 0.0803]","[0.0, 0.15]"
Thought Salt &amp; Buttler would be one of the best opening pairs this World Cup... But what even these two have done this entire tournament... Unreal poor form,NEUTRAL_ANALYSIS,0.2895,"[35.89, 47.89]","[0.0, 0.0812]","[0.0, 0.15]"
"SRH causing CSK problems off the field, In auction SRH with no business increased prices of all CSK targets and then SRH movie production copyright striked Powerhouse song. CSK has removed the video and had re uploaded the video without that song 😭😭😭",NEUTRAL_ANALYSIS,0.3329,"[62.0, 74.0]","[0.0, 0.0802]","[0.0, 0.15]"
"This is one crazy deal for their fans. With this amount, getting one home ticket for a RCB game itself is doubtful, that's the state here 😭",NEUTRAL_ANALYSIS,0.3297,"[38.39, 50.39]","[0.0, 0.0808]","[0.0, 0.15]"
"In Dewalt Brevis’s brief career, I haven’t seen a better innings from him",NEUTRAL_ANALYSIS,0.3542,"[40.15, 52.15]","[0.0, 0.0802]","[0.0, 0.15]"
@ashwinravi99 What about Pakistan saim ayub single handedly destroy India 🔥🇵🇰,NEUTRAL_ANALYSIS,0.3073,"[20.93, 32.93]","[0.0, 0.1526]","[0.0, 0.15]"
"England has to think about pushing jacks at the top of the order , if they want to maximise their heavy batting line up. Buttler looks out of touch and his feet is not moving anywhere.",CONSTRUCTIVE_CRITICISM,0.3739,"[41.79, 53.79]","[0.0, 0.0805]","[0.0, 0.15]"
"Arshdeep has one job today, 2 overs of the new ball spell that he delivered against Pakistan in the 2022 World Cup.... That's all needed. Rest Bumrah will take care.",MIXED_STANCE,0.0913,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
"The viewership for Ireland Vs Zimbabwe the next fixture will be viewed more in Fox Sports , Australia.",NEUTRAL_ANALYSIS,0.3256,"[32.38, 44.38]","[0.0, 0.0801]","[0.0, 0.15]"
2010 RCB jersey was cool af🔥 https://t.co/wLkkvXX0RR,NEUTRAL_ANALYSIS,0.3386,"[36.42, 48.42]","[0.0, 0.0803]","[0.0, 0.15]"
"I don't know how much the NZ vs India 5 match T20 series before the T20 World Cup was useful for India, but for NZ, it was so useful lol these guys improved intent massively, although Tim Seifert and Allen bat with intent that series gave them confidences.",NEUTRAL_ANALYSIS,0.3043,"[33.37, 45.37]","[0.0, 0.0802]","[0.0, 0.15]"
Oh no! Why not this IPL?,NEUTRAL_ANALYSIS,0.3245,"[35.18, 47.18]","[0.0, 0.0804]","[0.0, 0.15]"
"DK over Jitesh &amp; maybe Maxi over Faf for the balance part.

Gayle, Virat, Rajat (C), AB, Maxwell, DK, Krunal, Harshal, Siraj, Hazlewood, Chahal. 

Aravind, Kumble, Faf close miss.",NEUTRAL_ANALYSIS,0.2929,"[34.13, 46.13]","[0.0, 0.0913]","[0.0, 0.15]"
"I have seen so many over the top reactions to the news Josh Hazlewood will miss the first 2 #IPL 
matches.

Duffy might have had a tough world cup but his 2025 figures are superb

Matches :20
Wickets: 35
SR: 12.1
Avg: 15.1
Econ: 7.46

Just calm down and trust the process",NEUTRAL_ANALYSIS,0.3332,"[36.23, 48.23]","[0.0, 0.0802]","[0.0, 0.15]"
This is high octane pace from Archer. He is letting some thunderbolts go with effortless ease. Incredible batting so far from Kiwis on an extremely difficult pitch.,CONSTRUCTIVE_CRITICISM,0.4084,"[31.5, 43.5]","[0.0328, 0.1928]","[0.0, 0.15]"
"If Pakistan are serious about this World Cup campaign, they need to think about giving Fakhar Zaman a go in the middle order.

He can sweep and use his feet against Rashid and Dawson to inflict some serious damage through the middle overs.

This was Nepals success formulae against Rashid and there are some key learning’s that the other teams can try to imbibe.

Access the square boundaries to earn balls in the step hit zone.🤝

Wagon wheel against Nepal⬇️⬇️",NEUTRAL_ANALYSIS,0.3017,"[34.43, 46.43]","[0.0, 0.0803]","[0.0, 0.15]"
"Jacob Bethell

Thats it, thats the tweet

#T20WorldCup26 #INDvENG https://t.co/jxapbZNDvQ",NEUTRAL_ANALYSIS,0.3282,"[29.89, 41.89]","[0.0, 0.0806]","[0.0, 0.15]"
Satyan Gajwani owns a share in London Spirits in The Hundred as well. RCB &amp; LS both have the same management... They had planned this...,NEUTRAL_ANALYSIS,0.3335,"[37.56, 49.56]","[0.0, 0.0802]","[0.0, 0.15]"
"Smriti innings best batting innings played in KO match for RCB ....  I am putting over Gayle 2011 , Abd 2016 , nah man never seen anything like that.",NEUTRAL_ANALYSIS,0.4049,"[37.9, 49.9]","[0.0, 0.0804]","[0.0, 0.15]"
When you don’t pick up a wicket in power play it has to be Varun in the 7th over,NEUTRAL_ANALYSIS,0.4314,"[35.22, 47.22]","[0.0, 0.0802]","[0.0, 0.15]"
"Mar 28th v SRH 🏠 
Apr 5th v CSK 🏠 
Apr 10th v RR ✈️ 
Apr 12th v MI ✈️ 

One week gap just after our first game. https://t.co/vmr4gQLpAG",NEUTRAL_ANALYSIS,0.3162,"[36.72, 48.72]","[0.0, 0.0806]","[0.0, 0.15]"
"@ErikaMorris79 Yes we heard that from Ravi Shashtri on air , thanks for transcribing it on X .. verbatim !",NEUTRAL_ANALYSIS,0.3263,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
@ashwinravi99 Don’t Jinx it bro. You have one task to stay silent for 5 more overs 😂,MIXED_STANCE,0.0681,"[34.35, 46.35]","[0.0, 0.0833]","[0.0, 0.15]"
"Onto KKR and there is so much to say about them I could dedicate a whole thread just to them. They went into the mini auction with 64.3 Crore to spend and splashed out ₹52.4 Crore on 3 big signings, Gren, Fizz and Pathirana..Picking them off 1 by 1, Green is in the worst form of his live, Fizz has been banned and Pathirana could be out for at least a section of the IPL",DIRECT_ATTACK,0.3091,"[26.47, 38.47]","[0.0, 0.0803]","[0.0, 0.15]"
"Man, I hate  Pakistan T20 team, I can't stand them, especially in the current T20 era, I just can't stand them. These Sri Lankan lodu are even worse.",NEUTRAL_ANALYSIS,0.3131,"[69.0, 81.0]","[0.047, 0.207]","[0.0, 0.15]"
He will be banned for 3 seasons and that's deserving. Franchises literally plan a XI picking them and they realise they need to prioritise their international career when the IPL approaches...,NEUTRAL_ANALYSIS,0.293,"[32.31, 44.31]","[0.0, 0.0803]","[0.0, 0.15]"
"Great start to the WPL. 🔥🔥🔥 
Well done to RCB!
De Klerk lives up to the promise.👌#WPL2026 #RCBvMI",NEUTRAL_ANALYSIS,0.3311,"[39.54, 51.54]","[0.0, 0.0802]","[0.0, 0.15]"
"Who should KKR start as opener? Finn Allen or Tim Seifert? Start both, ditching foreign fast bowlers. Narine and Green both will sure starters.",CONSTRUCTIVE_CRITICISM,0.3135,"[54.0, 66.0]","[0.0, 0.0803]","[0.0, 0.15]"
"Pak had this game in their bag but a Vintage Pakistan collapse cooked them. Last 28 balls they managed just 39 runs losing 8 wickets lol, that's a horrible collapse. Could've easily got 15 more runs.",NEUTRAL_ANALYSIS,0.3272,"[36.27, 48.27]","[0.0, 0.0861]","[0.0, 0.15]"
"He doesn’t walk into our home…
he belongs here. 💛

Welcome home, Sanju Samson. 🦁

#WhistlePodu #Dencoming https://t.co/CFRxK7qucc",NEUTRAL_ANALYSIS,0.3271,"[33.28, 45.28]","[0.0, 0.081]","[0.0, 0.15]"
"Agree football doesn’t allow it!

While the batter can be allowed to switch hit or reverse without informing the umpire or bowler, after him/her commits to start batting on one side, why are the restrictions only limited to the bowler?

In fact the bowler isn’t allowed to change the arm with which he/she
bowls without informing the umpire!

They should first change that rule.",NEUTRAL_ANALYSIS,0.4632,"[29.54, 41.54]","[0.0, 0.0803]","[0.0, 0.15]"
ODI WC is real World Cup…. T20 WC was given hype by fans of laura lehsun players who flopped for 560 games out of their 600+ games career…….,NEUTRAL_ANALYSIS,0.3218,"[38.82, 50.82]","[0.0, 0.0803]","[0.0, 0.15]"
"If franchises are serious, they should not fall for De Kock's innings today.",NEUTRAL_ANALYSIS,0.3141,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
"There are 4 key roles that franchise teams need to nail to be successful in #IPL

🏏 Top Order batters
🔥 Finishers
￼￼ Pace Bowlers
😵‍💫 Spin Bowlers

The next few tweets will look at each teams (main) players who fit into these roles",NEUTRAL_ANALYSIS,0.2935,"[35.13, 47.13]","[0.0, 0.0803]","[0.0, 0.15]"
"@ashwinravi99 Anna what about that bonus point, I'm still searching for that 🙂 https://t.co/9zRMgsY4cJ",NEUTRAL_ANALYSIS,0.3386,"[31.86, 43.86]","[0.0, 0.0802]","[0.0, 0.15]"
"4 exciting young talents Estheruizen , Jordan Hermann , Mokeona and Forrester making their debuts for proteas. Good luck.",MIXED_STANCE,0.1017,"[33.7, 45.7]","[0.0, 0.0801]","[0.0, 0.15]"
"Crushing win for SA. They were brilliant today after losing the plot in power play while batting. Hard luck to india. There is always a role for anchor in t20 cricket. My opinion i will repeat it. 

Kom Manne kom manne kom manne kom maanne kom manne.",NEUTRAL_ANALYSIS,0.3832,"[37.89, 49.89]","[0.0, 0.1039]","[0.0, 0.15]"
🚨 LUCKNOW SUPERGIANTS JERSEY FOR IPL 2026. 🚨 https://t.co/1zHY2ZxyIq,NEUTRAL_ANALYSIS,0.325,"[27.84, 39.84]","[0.0, 0.0804]","[0.0, 0.15]"
"SA had such a near perfect World Cup, dominating every win except the Afghan one. You should never have such dominance... 95/100 times you're going to get packed in that one big game.",NEUTRAL_ANALYSIS,0.323,"[38.45, 50.45]","[0.0, 0.0815]","[0.0, 0.15]"
"RCB winning the 2025 IPL did more damage than good, both to fans as well as to Shreyas Iyer. Had PBKS won that day, Shreyas Iyer would have became the only third captain after MS Dhoni and Rohit Sharma to win back to back IPL titles as captain. The added highlight would have been that he would have been the first ever captain to win back to back titles captaining two different teams. And he would have never been dropped from the ICT setup this easily. Should have straight away walked in as next ICT captain instead of Arrogant SKY",CONSTRUCTIVE_CRITICISM,0.3055,"[69.0, 81.0]","[0.0, 0.0804]","[0.0, 0.15]"
"Looking for someone who has deep knowledge of all the new local #IPL2026 players.
I’m preparing a depth analysis for each team and need to understand some of the fringe players.
Anyone who can help with this? I will of course credit you in the final posts 🙏",NEUTRAL_ANALYSIS,0.3118,"[69.0, 81.0]","[0.0, 0.0801]","[0.0, 0.15]"
"The last time Australia failed to get out of the #T20WorldCup group stages:

🎵Micheal Jackson was still alive
🇺🇸 Barack Obama had just been  Inaugurated
💰Bitcoin network didnt exist
🏏Deccan chargers won the IPL

After such a dramatic #AusVsSL match, are we about to see another group exit for Australia exit?",NEUTRAL_ANALYSIS,0.3282,"[32.53, 44.53]","[0.0, 0.0803]","[0.0, 0.15]"
England weak against spin? Harry Brook wants to set the record straight 🌀 https://t.co/k1vcf9pXg6,NEUTRAL_ANALYSIS,0.3363,"[36.36, 48.36]","[0.0, 0.081]","[0.0, 0.15]"
"5 of the top 10 leading wicket takers of #T20WorldCup so far are associate players.

4 of the top 10 run scorers of #T20WorldCup  so far are associate players.

Cricket boards of the world take notice, pick these players in your leagues, arrange tours of these countries, help the sport we all love grow in these nations.",NEUTRAL_ANALYSIS,0.2974,"[36.95, 48.95]","[0.0, 0.0802]","[0.0, 0.15]"
"#breaking ""We will announce the remaining schedule of #IPL2026 shortly,"" @BCCI secretary @lonsaikia tells TOI!",NEUTRAL_ANALYSIS,0.3121,"[34.53, 46.53]","[0.0, 0.0802]","[0.0, 0.15]"
"𝙎𝙖𝙡𝙩𝙮 🤝 𝙑𝙞𝙧𝙖𝙩 𝙙𝙪𝙤 𝙞𝙨 𝙤𝙪𝙧 𝙣𝙚𝙬𝙚𝙨𝙩 𝙛𝙖𝙫𝙤𝙪𝙧𝙞𝙩𝙚 𝙜𝙚𝙣𝙧𝙚. 🥹

Virat throwing it down to Salt…openers looking out for each other already. 🤩

It’s these 𝗹𝗶𝘁𝘁𝗹𝗲 𝘁𝗵𝗶𝗻𝗴𝘀 that matter over a long campaign. ❤️‍🔥

🎥 Enjoy the full video on @bigbasket_com presents RCB Bold Diaries. ❤️

#PlayBold #ನಮ್ಮRCB #IPL2026",NEUTRAL_ANALYSIS,0.3347,"[34.96, 46.96]","[0.0, 0.0831]","[0.0, 0.15]"
"No matter how you feel.

Get up, dress up, pad up, show up and never give up.

It can be hard to miss but such is the competition for places in the Indian team. #RuturajGaikwad https://t.co/A1taarpMdF",NEUTRAL_ANALYSIS,0.2895,"[36.02, 48.02]","[0.0, 0.0857]","[0.0, 0.15]"
"Katene Clarke is poised to make his debut in the fourth #NZvSA T20I in Wellington 

▶️ https://t.co/uKnGGkI1Ia https://t.co/u3qoCClEmm",NEUTRAL_ANALYSIS,0.3247,"[35.37, 47.37]","[0.0, 0.0809]","[0.0, 0.15]"
Absolutely! Quality innings under pressure on a tough pitch.,CONSTRUCTIVE_CRITICISM,0.4184,"[32.85, 44.85]","[0.0, 0.0802]","[0.0, 0.15]"
"Now the schedule has come out for  #ipl2026 its time for the content to start dropping.

First drop is tomorrow with a one stop overview of each team showing:

💪 Strengths
❌ Weaknesses
🎯 Where they will excel
⚠️ Where they will struggle
🏏 Playing 11 + Impact sub
￼￼￼￼￼￼☑️ Back ups

Here is what one will look like..  all information removed of course.

Share this with anyone you think might be interested.

Dropping 12 noon UK time🕣⏰",NEUTRAL_ANALYSIS,0.3233,"[37.49, 49.49]","[0.0, 0.0812]","[0.0, 0.15]"
SA have rightly opted to bat first and have picked the right combination. Extremely surprised to see india leave out axar patel.,CONSTRUCTIVE_CRITICISM,0.3289,"[31.26, 43.26]","[0.0, 0.0803]","[0.0, 0.15]"
England have a habit of losing to small teams in ICC events. Nepal looks determined.,NEUTRAL_ANALYSIS,0.3596,"[37.18, 49.18]","[0.0, 0.0802]","[0.0, 0.15]"
"Seen a lot of people debating the potential RCB line up today for #IPL2026
The team almost picks itself

Salt✈️
Virat 
Iyer
Rajat 
David ✈️ 
Jitesh 
Shepard ✈️
Krunal
Magnesh 
Bhuvi 
Hazelwood ✈️
Suyash (IP)

If David isnt fit then Bethell comes in
If Josh isnt fit then Duffy comes in.

Magnesh will get into this team. Left arm seamers who can bat left handed are rare as rocking horse shit.

Why people are over thinking this and coming up with funky line ups is beyond me

Anyway all being well I’m posting a thread Thursday on each team, the predicted playing 12, back ups, strengths and weaknesses",NEUTRAL_ANALYSIS,0.3073,"[39.15, 51.15]","[0.0, 0.1046]","[0.0, 0.15]"
Sorry India but you didn’t entertain Ocean today #T20WorldCup2026 #INDvNAM https://t.co/Rj3GiPkC77,NEUTRAL_ANALYSIS,0.3076,"[24.08, 36.08]","[0.0, 0.0802]","[0.0, 0.15]"
Congratulations Bangladesh on a hard fought and well deserved series victory. Hard luck to Pakistan.,NEUTRAL_ANALYSIS,0.3995,"[32.58, 44.58]","[0.0, 0.0802]","[0.0, 0.15]"
"Pak has got the perfect start... Times when you need Babar, he would've ruined the flow in the middle",NEUTRAL_ANALYSIS,0.3027,"[35.8, 47.8]","[0.0, 0.0805]","[0.0, 0.15]"
"Imagine scoring your 4th highest ever T20 total and still losing🤯

What a game, what a chase and what a performance by India  👏👏 #INDvENG 

For all the fun and banter, huge congratulations to India and good luck in the final.",NEUTRAL_ANALYSIS,0.3362,"[35.3, 47.3]","[0.0, 0.0837]","[0.0, 0.15]"
Imran Tahir will turn up for Dolphins in the ODI domestic competition about to begin in a week’s  time. He has not retired from international cricket yet.,MIXED_STANCE,0.1196,"[31.28, 43.28]","[0.0, 0.0802]","[0.0, 0.15]"
"This is a World Cup i have well and truly enjoyed covering & the best part has been how there has been scope for some tactical discussion through my new attempt “Tactical Dugout”( in English ) #T20WorldCup 

Here is a small preview of some interesting match ups. ⬇️⬇️

https://t.co/VkCcJczjkZ

Also some exciting future content loading on the “Tactical Dugout”as the men in yellow gear up for #aarupadaiyappa #6TL @crikipidea 

Tell me what you think of these pictures.",NEUTRAL_ANALYSIS,0.3104,"[32.81, 44.81]","[0.0, 0.0805]","[0.0, 0.15]"
And also remember the name - Sanju Samson,MIXED_STANCE,0.1713,"[34.03, 46.03]","[0.0, 0.0803]","[0.0, 0.15]"
